X,Y
37.54057,36.168814
37.514055,36.166861
37.594396,36.16595
37.484265,36.193061
37.458301,36.167181
37.567551,36.113364
37.57365,36.09334
37.543701,36.104222
37.481903,36.119952
37.575388,36.16295
37.525438,36.204
37.427224,36.21808
37.463826,36.224007
37.502168,36.219623
37.838853,36.25771
37.780482,36.226413
37.72483,36.179081
37.684804,36.241151
37.624339,36.235436
37.853915,36.259764
37.572082,36.227078
37.68386,36.19731
37.735541,36.207725
37.683498,36.223349
37.707559,36.193502
37.81147,36.236487
37.64228,36.220867
37.610573,36.193448
37.707877,36.271895
37.716591,36.243893
37.691477,36.171447
37.556353,36.227095
37.744479,36.23865
37.680187,36.260206
37.617228,36.214258
37.542449,36.240344
37.642057,36.201257
37.59854,36.231956
37.656411,36.236294
37.70437,36.36977
37.718092,36.443958
37.744405,36.309313
37.687131,36.487989
37.641577,36.498641
37.633725,36.527898
37.632762,36.467789
37.722943,36.472299
37.671046,36.428824
37.72416,36.523834
37.654896,36.517325
37.617218,36.506743
37.739947,36.507181
37.762035,36.36441
37.764688,36.508781
37.687168,36.394989
37.585073,36.51913
37.718613,36.400101
37.703057,36.433532
37.6528,36.394333
37.658579,36.412298
37.605972,36.564345
37.609628,36.542935
37.541536,36.517332
37.591775,36.485463
37.684327,36.362901
37.676472,36.353851
37.724107,36.341866
37.652516,36.472344
37.70284,36.507171
37.740329,36.347284
37.546684,36.481693
37.646249,36.423479
37.624611,36.427264
37.614605,36.521194
37.647332,36.52177
37.636668,36.43288
37.626671,36.444927
37.698306,36.447748
37.672601,36.448738
37.58157,36.461341
37.691384,36.471013
37.560303,36.495198
37.685865,36.523837
37.583612,36.543063
37.574235,36.560592
36.827748,36.482733
36.807785,36.353492
36.992952,36.466974
36.902854,36.342968
36.802653,36.435303
36.961453,36.550186
36.996843,36.526515
37.004934,36.422287
36.829344,36.368746
36.968702,36.484383
36.968035,36.438215
36.911209,36.523217
36.882593,36.495561
36.924348,36.505756
36.795121,36.541047
36.865523,36.511094
36.954314,36.519087
36.80361,36.523639
36.928048,36.436169
36.866095,36.464547
36.95354,36.460757
36.836325,36.460896
36.866213,36.359931
36.873622,36.341079
36.899004,36.385929
36.870973,36.431946
36.862564,36.41178
36.841683,36.37684
37.013033,36.429774
36.917458,36.332303
36.836422,36.45174
36.896222,36.423736
36.906127,36.320199
36.800617,36.500378
36.832535,36.510501
36.949602,36.530436
36.887507,36.466442
36.81369,36.462979
36.810918,36.413053
36.859427,36.421463
36.862361,36.524348
36.931782,36.47791
36.95925,36.560559
36.941902,36.55877
36.907632,36.361164
36.87657,36.537593
36.876812,36.320454
36.917038,36.463077
36.819347,36.769656
36.766974,36.704002
36.767252,36.796819
